Country,Population,Percentage of World Population,Total Area (km2),Percentage Water,Total Nominal GDP,Per Capita GDP
 Papua New Guinea,8558800,0.11,4628402,2,21189000000,2613
 Switzerland,8508904,0.11,412852,4.2,681000000000,80837
 Sierra Leone,7719729,0.101,717402,1.1,4757000000,711
 Hong Kong ,7448900,0.097,27552,59.8,364782000000,48829
 Togo,7352000,0.096,567852,4.2,4797000000,621
 Paraguay,7052983,0.092,4067522,2.3,32290999999,4578
 Bulgaria,7050034,0.092,110993,0.3,55954000000,7924
 Laos,6961210,0.091,2379552,2,18337000000,2706
 El Salvador,6643359,0.087,210412,1.5,28986000000,4776
 Kyrgyzstan,6309300,0.082,1999512,3.6,7061000000,1139
 Nicaragua,6284757,0.082,1303752,7.14,13748000000,2207
 Lebanon,6093509,0.08,104522,1.8,53915000000,11615
 Turkmenistan,5851466,0.076,4912102,4.9,42355000000,7645
 Finland,5519463,0.072,3384242,10,289557000000,52422
 Slovakia,5443120,0.071,490352,0.0789,111000000000,20508
 Republic of the Congo,5399895,0.071,3420002,3.3,9210000000,1981
 Norway,5312343,0.069,3852032,5.2,443000000000,82711
 Eritrea,5187948,0.068,1176002,0.14,6856000000,988
 Costa Rica,5003393,0.065,511002,0.7,61064000000,12144
 New Zealand,4907690,0.0641,2680212,1.6,220890000000,44639
 Ireland,4857000,0.063,702732,2.00,385000000000,80641
 Central African Republic,4737423,0.062,6229842,12,2003000000,401
 Oman,4633752,0.061,3095002,0.0,75621000000,17978
 Liberia,4382387,0.057,1113692,13.514,2335000000,475
 Kuwait,4226920,0.055,178182,0.0,118271000000,28199
 Panama,4158783,0.054,754172,2.9,63683000000,15313
 Croatia,4105493,0.054,565942,1.09,61056000000,14788
 Mauritania,3984233,0.052,10300002,0.03,5063000000,1304
 Bosnia and Herzegovina,3511372,0.046,511292,1.4,18560000000,4836
 Uruguay,3505985,0.046,1762152,1.5,65815000000,18074
 Puerto Rico ,3337177,0.044,91042,1.6,103676000000,30586
 Mongolia,3228650,0.042,15660002,0.67,13000000000,4029
 Armenia,2969800,0.039,297432,4.71,11548000000,3861
 Albania,2870324,0.038,287482,4.7,15289000000,5319
 Lithuania,2799127,0.037,653002,1.35,54352000000,19534
 Jamaica,2728864,0.036,109912,1.5,14556000000,5117
 Qatar,2561643,0.033,115812,0.8,183807000000,66202
 Namibia,2413643,0.032,8256152,0.0,11765000000,5073
 Botswana,2302878,0.03,5817302,2.6,18620000000,8443
 Lesotho,2263010,0.03,303552,0.0032,2721000000,1413
 The Gambia,2163765,0.028,106892,11.5,1038000000,488
 Macedonia,2075301,0.027,257132,1.9,12292000000,5916
 Gabon,2067561,0.027,2676672,3.76,14563000000,7741
 Slovenia,2066880,0.027,202732,0.7,56933000000,27535
 Latvia,1923400,0.025,645892,1.57,30176000000,18472
 Kosovo,1798506,0.023,109082,1.0,7730000000,4140
 Guinea-Bissau,1584763,0.021,361252,22.4,1295000000,761
 Bahrain,1496300,0.02,765,0.0,37841000000,25764
 Trinidad and Tobago,1356633,0.018,51312,0.0,21748000000,15838
 Estonia,1319133,0.017,452272,4.45,30821000000,23610
 Mauritius,1264887,0.017,20402,0.07,13297000000,10437
 East Timor,1261407,0.016,154102,0.0,2498000000,3330
 Equatorial Guinea,1222442,0.016,280502,0.0,9907000000,11457
 Swaziland,1159250,0.015,173642,0.9,4572000000,3934
 Djibouti,1049001,0.014,232002,0.09,2323000000,2214
 Fiji,884887,0.012,182742,0.0,4869000000,5411
 Comoros,850688,0.011,18622,0.0,657000000,774
 Guyana,782225,0.0102,2149702,8.4,3456000000,4492
 Bhutan,727145,0.01,383942,1.1,2547000000,3117
 Solomon Islands,667044,0.0087,284002,3.2,840000000,1553
 Macau ,658900,0.0086,115,73.7,44803000000,77451
 Montenegro,622359,0.0081,138122,2.6,4019999999,6424
 Luxembourg,602005,0.0079,2586,0.60,72000000000,120061
 Suriname,568301,0.0074,1638212,1.1,3641000000,6373
 Cape Verde,544081,0.0071,40332,0.0,1747000000,3287
 Malta,475701,0.0062,3162,0.001,13329000000,30500
 Brunei,422678,0.0055,57652,8.6,13002000000,27601
 Belize,395882,0.0052,229662,0.8,1829000000,4724
 Bahamas,381320,0.005,138782,28,9529000000,25306
 Maldives,378114,0.0049,2982,0,4825000000,13196
 Iceland,353070,0.0046,1027752,2.7,25000000000,70332
 Northern Cyprus,335455,0.0044,33552,2.7,4032000000,15109
 Barbados,286388,0.0037,4392,0.0,4385000000,15677
 French Polynesia ,275918,0.0036,41672,12,5623000000,20098
 Samoa,199052,0.0026,28422,0.3,876000000,4496
 São Tomé and Príncipe,197700,0.0026,10012,0.0,355000000,1668
 Saint Lucia,179667,0.0023,6172,1.6,1428000000,8135
 Aruba ,111350,0.0015,178,0.0,2991000000,28924
 Saint Vincent and the Grenadines,109557,0.0014,3892,0.0,784000000,7123
 Federated States of Micronesia,105300,0.0014,7022,0.0,329000000,3400
 Grenada,103328,0.0013,348,1.6,1180000000,10925
 Tonga,100651,0.0013,7482,4.0,439000000,4220
 Seychelles,94205,0.0012,4592,0.0,1564000000,16332
 Antigua and Barbuda,86295,0.0011,4402,0.0,1454000000,15932
 Andorra,78264,0.001,467,0.26,3249000000,36987
 Dominica,71293,0.00093,7502,1.6,521000000,7362
 Cayman Islands ,64420,0.00084,2642,1.6,3480000000,58808
 Bermuda ,63779,0.00083,53,27,5853000000,94400
 Saint Kitts and Nevis,46204,0.0006,2612,0.0,945000000,16793
 Monaco,38300,0.0005,2,0.0,6500000000,168000
 Liechtenstein,38111,0.0005,1602,2.7,5155000000,143151
 San Marino,33344,0.00044,61,0,1550000000,44947
 Palau,17900,0.00023,4592,0.0,321000000,17438
 Wallis and Futuna ,11700,0.00015,142,0.0,188000000,12640
 Tuvalu,10640,0.00014,262,0.0,32000000,2970
 Nauru,10084,0.00013,212,0.57,114000000,8570
